;FR20030;FR20026;FR20017;FR20002;FR20013;FR20045;FR20029;FR20049;FR20019;FR20038;FR20020;FR20008;FR20033;FR20037;FR20003;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
27/03/2000;32.0;-1.0;38.0;61.0;79.0;54.0;31.0;7.0;59.0;32.0;45.0;50.0;30.0;31.0;61.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/03/2000;36.0;-1.0;39.0;55.0;69.0;44.0;34.0;9.0;48.0;38.0;45.0;54.0;31.0;35.0;59.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/03/2000;29.0;-1.0;40.0;54.0;59.0;43.0;31.0;13.0;51.0;37.0;43.0;52.0;30.0;35.0;56.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/03/2000;23.0;-1.0;60.0;77.0;84.0;50.0;37.0;9.0;86.0;39.0;64.0;83.0;30.0;41.0;87.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/03/2000;25.0;-1.0;57.0;81.0;85.0;38.0;36.0;11.0;88.0;44.0;59.0;80.0;34.0;44.0;83.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/04/2000;21.0;-1.0;55.0;77.0;83.0;39.0;35.0;8.0;81.0;38.0;66.0;75.0;28.0;43.0;81.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/04/2000;12.0;-1.0;33.0;57.0;54.0;20.0;20.0;12.0;51.0;25.0;33.0;52.0;19.0;21.0;48.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/04/2000;7.0;-1.0;36.0;64.0;76.0;30.0;21.0;11.0;62.0;29.0;37.0;65.0;15.0;20.0;58.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/04/2000;11.0;-1.0;34.0;69.0;68.0;44.0;33.0;7.0;73.0;17.0;42.0;66.0;18.0;26.0;70.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/04/2000;17.0;-1.0;30.0;53.0;71.0;39.0;30.0;9.0;39.0;31.0;37.0;45.0;24.0;24.0;54.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/04/2000;21.0;-1.0;35.0;51.0;72.0;29.0;36.0;11.0;34.0;39.0;37.0;46.0;29.0;24.0;47.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/04/2000;32.0;-1.0;49.0;63.0;94.0;42.0;40.0;14.0;55.0;44.0;54.0;64.0;34.0;42.0;73.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
