;id_station;valeur
05/10/2007;FR20046;28.3
05/10/2007;FR20062;28.0
05/10/2007;FR20013;43.0
06/10/2007;FR20013;37.0
06/10/2007;FR20046;29.9
06/10/2007;FR20062;30.0
07/10/2007;FR20046;29.3
07/10/2007;FR20013;31.0
07/10/2007;FR20062;25.0
08/10/2007;FR20013;29.0
08/10/2007;FR20062;25.0
08/10/2007;FR20046;25.3
09/10/2007;FR20013;32.0
09/10/2007;FR20046;29.9
09/10/2007;FR20062;31.0
10/10/2007;FR20062;30.0
10/10/2007;FR20046;26.3
10/10/2007;FR20013;34.0
11/10/2007;FR20062;42.0
11/10/2007;FR20046;43.0
11/10/2007;FR20013;48.0
12/10/2007;FR20013;59.0
12/10/2007;FR20062;47.0
12/10/2007;FR20046;48.1
13/10/2007;FR20046;49.7
13/10/2007;FR20062;50.0
13/10/2007;FR20013;57.0
14/10/2007;FR20062;58.0
14/10/2007;FR20046;48.1
14/10/2007;FR20013;54.0
15/10/2007;FR20046;34.6
15/10/2007;FR20013;44.0
15/10/2007;FR20062;38.0
16/10/2007;FR20046;31.9
16/10/2007;FR20013;37.0
16/10/2007;FR20062;29.0
17/10/2007;FR20013;34.0
17/10/2007;FR20062;21.0
17/10/2007;FR20046;22.0
18/10/2007;FR20013;23.0
18/10/2007;FR20062;10.0
18/10/2007;FR20046;13.1
19/10/2007;FR20013;19.0
19/10/2007;FR20062;9.0
19/10/2007;FR20046;14.2
20/10/2007;FR20046;13.7
20/10/2007;FR20062;9.0
20/10/2007;FR20013;14.0
21/10/2007;FR20062;9.0
21/10/2007;FR20046;13.2
21/10/2007;FR20013;15.0
22/10/2007;FR20062;14.0
22/10/2007;FR20013;21.0
22/10/2007;FR20046;18.6
23/10/2007;FR20013;37.0
23/10/2007;FR20046;27.8
23/10/2007;FR20062;27.0
24/10/2007;FR20062;29.0
24/10/2007;FR20046;30.1
24/10/2007;FR20013;41.0
25/10/2007;FR20046;28.1
25/10/2007;FR20062;27.0
25/10/2007;FR20013;42.0
26/10/2007;FR20062;32.0
26/10/2007;FR20046;32.2
26/10/2007;FR20013;49.0
27/10/2007;FR20013;58.0
27/10/2007;FR20046;45.5
27/10/2007;FR20062;44.0
28/10/2007;FR20062;57.0
28/10/2007;FR20046;55.6
28/10/2007;FR20013;63.0
29/10/2007;FR20013;54.0
29/10/2007;FR20046;45.2
29/10/2007;FR20062;45.0
30/10/2007;FR20062;14.0
30/10/2007;FR20013;24.0
30/10/2007;FR20046;21.3
31/10/2007;FR20062;20.0
31/10/2007;FR20046;20.1
